sector,occupation,average_income,average_income2
Sports,Sports and Personal Service Workers - type not specified,9289.66,"$9,289.66 "
Agriculture,"Farm, Forestry and Garden Workers - type not specified",16857.25,"$16,857.25 "
Hospitality,Fast Food Cooks,17443.99,"$17,443.99 "
Hospitality,Waiters,20270.51,"$20,270.51 "
Hospitality,Hospitality Workers - type not specified,20450.91,"$20,450.91 "
Hospitality,Cafe Workers,20452.74,"$20,452.74 "
Service,Cleaners and Laundry Workers - type not specified,20725.77,"$20,725.77 "
Corporate,Sales assistant - type not specified,21328.79,"$21,328.79 "
Service,Personal Carers and Assistants,21585.43,"$21,585.43 "
Sports,Apprentice or trainee - sport and recreation,21646.38,"$21,646.38 "
Hospitality,Apprentice or trainee - hospitality,21741.9,"$21,741.90 "
Service,Massage Therapists,21764.53,"$21,764.53 "
Call Centre,Survey Interviewers,21791.05,"$21,791.05 "
Agriculture,Crop Farm Workers,21899.76,"$21,899.76 "
Hospitality,Kitchenhands,21908.26,"$21,908.26 "
Service,Domestic Cleaners,21918,"$21,918.00 "
Education,School Teacher - type not specified,22296.14,"$22,296.14 "
Retail,Checkout Operators and Office Cashiers,22740.47,"$22,740.47 "
Construction,Labourer - type not specified,22924.83,"$22,924.83 "
Consultancy,Personal Care Consultants,23099.79,"$23,099.79 "
Agriculture,"Apprentice or trainee - farm, forestry or garden worker",23149.24,"$23,149.24 "
Service,Apprentice or trainee - cleaning services,23650.76,"$23,650.76 "
Service,Other Personal Service Workers,23682.91,"$23,682.91 "
Service,Automobile Drivers,24261.63,"$24,261.63 "
Beauty,Apprentice or trainee - hair dresser,24304.38,"$24,304.38 "
Sports,Health and Welfare Support workers - type not specified,24629.75,"$24,629.75 "
Corporate,Apprentice or trainee - business services,25035.53,"$25,035.53 "
Retail,Shelf Fillers,25465.88,"$25,465.88 "
Industrial,Factory Process Workers - type not specified,25480.74,"$25,480.74 "
Agriculture,Farmers and farm managers - type not specified,25754.96,"$25,754.96 "
Administration,Filing and Registry Clerks,25847.2,"$25,847.20 "
Service,Housekeepers,25892.5,"$25,892.50 "
Service,Apprentice or trainee - care and community services,25987.54,"$25,987.54 "
Call Centre,Telemarketers,26036.62,"$26,036.62 "
Hospitality,Bar Attendants and Baristas,26258.94,"$26,258.94 "
Corporate,Apprentice or trainee - clerical services,26431.73,"$26,431.73 "
Retail,Sales Assistants (General),26648.46,"$26,648.46 "
???,Food Trades Assistants,26838.41,"$26,838.41 "
Retail,Apprentice or trainee - storeperson,27002.93,"$27,002.93 "
Arts,"Actors, Dancers and Other Entertainers",27094.4,"$27,094.40 "
Retail,Florists,27153.71,"$27,153.71 "
Sports,Fitness Instructors,27479.94,"$27,479.94 "
Hospitality,"Apprentice or trainee - food, drink or meat processor",27629.97,"$27,629.97 "
Religious,Ministers of Religion,27861.88,"$27,861.88 "
Pharmaceutical,Pharmacy Sales Assistants,27872.48,"$27,872.48 "
